session_id,target
1,0.002209994964817122
2,4.812330216767027e-09
3,1.8731955640748437e-08
4,2.3557485016043204e-08
5,3.1307890379329785e-05
6,0.00021850125980093162
7,0.0005480011889491903
8,0.00013229007883029545
9,0.0007952395384596013
10,0.10312929271076297
11,3.0370156157737805e-05
12,8.643631783489128e-05
13,0.0004376085464568312
14,0.35766908820013094
15,5.0205121623252896e-05
16,0.004009122191756639
17,0.01520211900054476
18,3.193854555096297e-05
19,0.0009341903585477539
20,2.7296121063509675e-07
21,0.0623077913494844
22,5.5539342688674104e-08
23,2.8666457620135206e-05
24,0.00033855298770545485
25,0.07178201292621629
26,4.60208764541792e-09
27,0.0006278710324930534
28,3.693323633829889e-07
29,0.014570183417352243
30,0.00011076595544446924
31,0.013674483571661549
32,0.043834997540275
33,0.0006208479736324313
34,9.344385008501358e-08
35,0.013392821174012793
36,0.00032653698171512216
37,6.201846440601677e-09
38,1.3757561014171818e-08
39,0.00011076595544446924
40,3.0001573128809727e-05
41,0.0004425460807548044
42,0.0012581355334005343
43,1.8722023981214451e-06
44,1.4064978663654212e-05
45,0.24341410844957975
46,8.730911040937627e-06
47,0.009257025410250773
48,0.0005915163715324917
49,2.5099911770773067e-05
50,9.505732763689129e-06
51,1.2412056629644704e-07
52,6.010289302280953e-06
53,0.035730573788290164
54,0.0001032667719611213
55,6.1493444418407584e-06
56,0.0018049043281693753
57,1.1782113699433663e-06
58,1.5459030642946946e-05
59,1.587349777650694e-05
60,6.634183429991932e-06
61,9.054057024892517e-06
62,0.0013677191832860167
63,1.5026268661251977e-05
64,3.2160251748855964e-05
65,7.0606397317360725e-06
66,1.1963093156763623e-07
67,0.00019603909094985985
68,0.0001569768849430137
69,0.0914744931295574
70,0.00014675245534927943
71,0.000271990265150803
72,1.587349777650694e-05
73,0.030187842818671807
74,4.812330216767027e-09
75,2.8877054787978755e-05
76,0.00036004424179547336
77,0.00017107395232840588
78,0.0015259070028846686
79,7.265149943110753e-06
80,0.00012248210991173521
81,2.3612294350733444e-05
82,3.912532884578564e-05
83,3.734873022848281e-08
84,0.2497602473002257
85,1.3637028546720206e-05
86,6.213690489198532e-07
87,0.0011988030455058454
88,0.0005863116596420063
89,0.00031462275567900285
90,0.01806748799301092
91,0.0001307277791259838
92,9.617307543336293e-06
93,0.03281787833210923
94,0.0008490154141625101
95,0.038783566460657205
96,3.38777890113224e-08
97,9.716449286444647e-05
98,6.852776772969479e-05
99,2.1826205052117532e-05
100,0.00010112860419992058
101,0.0005104837732918849
102,0.07066739918730922
103,0.0022693654441522473
104,0.0023880241127788404
105,3.737337218472346e-06
106,0.0002782936396521473
107,0.00033270923339145844
108,1.9320351722502392e-05
109,1.81379857485807e-05
110,9.308927392140326e-05
111,0.00014645390338544737
112,2.5766465519531467e-07
113,0.015393611136655539
114,6.680520559495236e-06
115,0.00013021720570444246
116,0.000813029453616789
117,0.001448883230099517
118,0.004409072730494088
119,0.009800820630041457
120,0.0001470710160507494
121,3.8917681866041115e-05
122,0.00011076595544446924
123,0.00028377777335021614
124,2.309486313944893e-05
125,0.0016321341347847232
126,4.570823061443874e-07
127,5.2268049686465876e-09
128,0.000354738202008169
129,0.0030235755897211674
130,0.0012019869586194208
131,0.013175680607866072
132,0.0005480011889491903
133,0.000845530999991862
134,1.5122819412364161e-06
135,6.035990888233151e-06
136,3.2160251748855964e-05
137,0.00032222871419078543
138,0.001628788639026298
139,8.237737862677454e-07
140,0.0005440677823770783
141,3.240812270534265e-09
142,0.0003023251070005376
143,0.00029817057588290625
144,0.0007739398663851551
145,4.812330216767027e-09
146,0.011464445501937757
147,0.0003666266289952144
148,0.0005002930269655849
149,0.0003888003996471179
150,0.061167219693769
151,6.8682834142243055e-06
152,0.029659272821797922
153,0.0016348816696077737
154,0.002593457415156575
155,1.5614702041102115e-05
156,7.603930204511508e-05
157,7.628871745413257e-05
